model,layer,d_model,norm_w0,norm_w1,norm_diff,norm_w1_over_init,norm_sum,init_over_w1,cos_w1_diff,cos_w0_w1,frac_w1_along_diff,bias_diff
qwen3,10,5120,2.2605841159820557,2.248518228530884,4.434550762176514,3.894547813560259,0.8166437745094299,0.18159598112106323,0.9833770990371704,-0.9344121813774109,0.9670302867889404,-0.004949604161083698
qwen3,11,5120,2.181802749633789,2.174734354019165,4.279317378997803,3.766750394126676,0.8166437149047852,0.18775711953639984,0.982217013835907,-0.9297281503677368,0.9647502303123474,-0.005680681671947241
qwen3,12,5120,1.8300474882125854,1.8153645992279053,3.552792549133301,3.1443037201246447,0.8166436553001404,0.22492551803588867,0.9743848443031311,-0.8996611833572388,0.9494256973266602,-0.0065426151268184185
qwen3,13,5120,1.7255200147628784,1.7047584056854248,3.3317160606384277,2.952728173277272,0.8166437149047852,0.2395188957452774,0.9709120392799377,-0.8867151141166687,0.942670464515686,-0.007515803445130587
qwen3,14,5120,1.7589943408966064,1.7443416118621826,3.406855821609497,3.021288297501891,0.8166437745094299,0.23408366739749908,0.972226083278656,-0.8913573622703552,0.9452233910560608,-0.008127634413540363
qwen3,15,5120,1.7491271495819092,1.7373312711715698,3.3894877433776855,3.009146031247382,0.8166438341140747,0.2350282371044159,0.9719949960708618,-0.8902915716171265,0.9447740316390991,-0.008014333434402943
qwen3,16,5120,1.694085955619812,1.6803654432296753,3.27417254447937,2.9104783229567937,0.8166435956954956,0.24299582839012146,0.9700363278388977,-0.8828955888748169,0.9409707188606262,-0.007694988511502743
qwen3,17,5120,1.6501213312149048,1.629537582397461,3.1764252185821533,2.8224418855553584,0.8166436553001404,0.2505752742290497,0.9681189656257629,-0.876069188117981,0.9372542500495911,-0.0076713706366717815
qwen3,18,5120,1.5816764831542969,1.5672087669372559,3.0411808490753174,2.7144852104026986,0.8166437149047852,0.26054081320762634,0.9654746651649475,-0.8655210137367249,0.9321413636207581,-0.008370655588805676
qwen3,19,5120,1.5927835702896118,1.5803190469741821,3.066240072250366,2.737192881528111,0.8166437149047852,0.25837936997413635,0.9660521149635315,-0.8675558567047119,0.9332568645477295,-0.00940100196748972
qwen3,20,5120,1.4390870332717896,1.4273840188980103,2.7477054595947266,2.4723016426432083,0.8166436553001404,0.2860630452632904,0.9582204818725586,-0.8377001881599426,0.9181864261627197,-0.010069862008094788
qwen3,21,5120,1.35965895652771,1.348008394241333,2.581606149673462,2.3348190278553265,0.8166435956954956,0.30290746688842773,0.9530307054519653,-0.818103551864624,0.9082676768302917,-0.010173313319683075
qwen3,22,5120,1.3727399110794067,1.3605703115463257,2.6084914207458496,2.3565769068680527,0.8166437745094299,0.3001108169555664,0.9539157748222351,-0.8215036988258362,0.9099550843238831,-0.01083887368440628
qwen3,23,5120,1.2636239528656006,1.253188967704773,2.3806612491607666,2.17058696354946,0.8166436553001404,0.3258262276649475,0.9454399347305298,-0.7894622683525085,0.8938565850257874,-0.012034873478114605
qwen3,24,5120,1.2185988426208496,1.2056795358657837,2.2826266288757324,2.0882982137656,0.8166436553001404,0.33866530656814575,0.9409241676330566,-0.7731003761291504,0.8853383660316467,-0.012285585515201092
qwen3,25,5120,1.213422417640686,1.1963270902633667,2.2672183513641357,2.0720993028071897,0.8166436553001404,0.34131285548210144,0.9399805068969727,-0.7703942656517029,0.8835633397102356,-0.01295808982104063
qwen3,26,5120,1.1938871145248413,1.172537922859192,2.22115159034729,2.0308952561933973,0.8166437745094299,0.34823769330978394,0.937456488609314,-0.7619608640670776,0.8788248300552368,-0.01415241789072752
